Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
1.4,0.160384,-0.0125084,0.160384,-0.0125084,0.160384,-0.0125084
1.42,0.154257,-0.00916491,0.154257,-0.00916488,0.154257,-0.00916488
1.44,0.148116,-0.00589118,0.148116,-0.00589115,0.148116,-0.00589115
1.46,0.141979,-0.00269772,0.141979,-0.00269769,0.141979,-0.00269769
1.48,0.135864,0.000405645,0.135864,0.000405671,0.135864,0.00040567
1.5,0.129788,0.0034098,0.129788,0.00340982,0.129788,0.00340982
1.52,0.123768,0.00630633,0.123768,0.00630635,0.123768,0.00630635
1.54,0.117818,0.00908756,0.117818,0.00908758,0.117818,0.00908758
1.56,0.111955,0.0117465,0.111954,0.0117466,0.111954,0.0117466
1.58,0.106191,0.014277,0.106191,0.0142771,0.106191,0.0142771
1.6,0.10054,0.0166736,0.10054,0.0166736,0.10054,0.0166736
1.62,0.0950148,0.0189315,0.0950147,0.0189315,0.0950147,0.0189315
1.64,0.0896263,0.0210467,0.0896262,0.0210467,0.0896262,0.0210467
1.66,0.084385,0.0230159,0.0843849,0.0230159,0.0843849,0.0230159
1.68,0.0793006,0.0248365,0.0793005,0.0248365,0.0793005,0.0248365
1.7,0.0743818,0.0265067,0.0743817,0.0265067,0.0743817,0.0265067
1.72,0.0696363,0.0280251,0.0696362,0.0280251,0.0696362,0.0280251
1.74,0.0650709,0.0293913,0.0650708,0.0293913,0.0650708,0.0293913
1.76,0.0606916,0.0306052,0.0606915,0.0306052,0.0606915,0.0306052
1.78,0.0565034,0.0316677,0.0565033,0.0316677,0.0565033,0.0316677
1.8,0.0525104,0.0325799,0.0525103,0.0325799,0.0525103,0.0325799
1.82,0.0487158,0.0333438,0.0487158,0.0333438,0.0487158,0.0333438
1.84,0.0451221,0.0339616,0.0451221,0.0339616,0.0451221,0.0339616
1.86,0.0417308,0.0344363,0.0417308,0.0344363,0.0417308,0.0344363
1.88,0.0385427,0.0347712,0.0385427,0.0347712,0.0385427,0.0347712
1.9,0.0355577,0.0349701,0.0355577,0.0349701,0.0355577,0.0349701
1.92,0.032775,0.0350372,0.032775,0.0350372,0.032775,0.0350372
1.94,0.0301932,0.0349772,0.0301931,0.0349772,0.0301931,0.0349772
1.96,0.0278099,0.0347949,0.0278099,0.0347949,0.0278099,0.0347949
1.98,0.0256224,0.0344957,0.0256223,0.0344957,0.0256223,0.0344957
2,0.0236271,0.0340851,0.0236271,0.034085,0.0236271,0.034085
2.02,0.02182,0.0335688,0.02182,0.0335687,0.02182,0.0335687
2.04,0.0201964,0.0329528,0.0201964,0.0329528,0.0201964,0.0329528
2.06,0.0187513,0.0322435,0.0187513,0.0322434,0.0187513,0.0322434
2.08,0.0174791,0.031447,0.0174791,0.031447,0.0174791,0.031447
2.1,0.0163737,0.0305699,0.0163737,0.0305699,0.0163737,0.0305699
2.12,0.0154287,0.0296187,0.0154288,0.0296187,0.0154288,0.0296187
2.14,0.0146375,0.0286,0.0146375,0.0286,0.0146375,0.0286
2.16,0.0139929,0.0275205,0.0139929,0.0275205,0.0139929,0.0275205
2.18,0.0134876,0.0263869,0.0134876,0.0263868,0.0134876,0.0263868
2.2,0.013114,0.0252056,0.0131141,0.0252056,0.0131141,0.0252056
2.22,0.0128646,0.0239833,0.0128646,0.0239833,0.0128646,0.0239833
2.24,0.0127313,0.0227265,0.0127313,0.0227264,0.0127313,0.0227264
2.26,0.0127062,0.0214414,0.0127062,0.0214414,0.0127062,0.0214414
2.28,0.0127812,0.0201345,0.0127813,0.0201345,0.0127813,0.0201345
2.3,0.0129483,0.0188118,0.0129483,0.0188118,0.0129483,0.0188118
2.32,0.0131993,0.0174793,0.0131994,0.0174792,0.0131994,0.0174792
2.34,0.0135262,0.0161426,0.0135262,0.0161426,0.0135262,0.0161426
2.36,0.013921,0.0148074,0.013921,0.0148073,0.013921,0.0148073
2.38,0.0143756,0.0134789,0.0143757,0.0134789,0.0143757,0.0134789
2.4,0.0148825,0.0121624,0.0148825,0.0121624,0.0148825,0.0121624
2.42,0.0154338,0.0108627,0.0154339,0.0108626,0.0154339,0.0108626
2.44,0.0160222,0.0095843,0.0160222,0.00958427,0.0160222,0.00958427
2.46,0.0166404,0.00833165,0.0166404,0.00833163,0.0166404,0.00833163
2.48,0.0172812,0.00710881,0.0172812,0.00710879,0.0172812,0.00710879
2.5,0.017938,0.00591957,0.017938,0.00591955,0.017938,0.00591955
2.52,0.0186041,0.00476743,0.0186041,0.00476741,0.0186041,0.00476741
2.54,0.0192732,0.00365562,0.0192732,0.0036556,0.0192732,0.0036556
2.56,0.0199394,0.00258708,0.0199395,0.00258706,0.0199395,0.00258706
2.58,0.0205971,0.00156443,0.0205971,0.00156441,0.0205971,0.00156441
2.6,0.0212407,0.000590036,0.0212407,0.00059002,0.0212407,0.000590019
2.62,0.0218654,-0.000334054,0.0218654,-0.000334069,0.0218654,-0.00033407
2.64,0.0224663,-0.00120607,0.0224663,-0.00120609,0.0224663,-0.00120609
2.66,0.0230391,-0.00202453,0.0230391,-0.00202455,0.0230391,-0.00202455
2.68,0.0235798,-0.00278824,0.0235798,-0.00278825,0.0235798,-0.00278825
2.7,0.0240847,-0.00349625,0.0240848,-0.00349627,0.0240848,-0.00349627
2.72,0.0245506,-0.00414793,0.0245506,-0.00414794,0.0245506,-0.00414794
2.74,0.0249743,-0.00474286,0.0249743,-0.00474287,0.0249743,-0.00474287
2.76,0.0253533,-0.0052809,0.0253533,-0.00528091,0.0253533,-0.00528091
2.78,0.0256853,-0.00576216,0.0256853,-0.00576217,0.0256853,-0.00576217
2.8,0.0259683,-0.00618697,0.0259684,-0.00618697,0.0259684,-0.00618698
2.82,0.0262008,-0.00655588,0.0262009,-0.00655588,0.0262009,-0.00655588
2.84,0.0263815,-0.00686966,0.0263815,-0.00686966,0.0263815,-0.00686966
2.86,0.0265093,-0.00712929,0.0265094,-0.00712929,0.0265094,-0.00712929
2.88,0.0265837,-0.00733593,0.0265838,-0.00733593,0.0265838,-0.00733593
2.9,0.0266043,-0.00749092,0.0266044,-0.00749093,0.0266044,-0.00749093
2.92,0.0265711,-0.00759577,0.0265711,-0.00759578,0.0265711,-0.00759578
2.94,0.0264842,-0.00765214,0.0264842,-0.00765214,0.0264842,-0.00765215
2.96,0.0263442,-0.00766183,0.0263442,-0.00766183,0.0263442,-0.00766183
2.98,0.0261517,-0.00762677,0.0261517,-0.00762677,0.0261517,-0.00762677
3,0.0259078,-0.007549,0.0259079,-0.007549,0.0259079,-0.007549
3.02,0.0256138,-0.00743066,0.0256138,-0.00743066,0.0256138,-0.00743066
3.04,0.0252709,-0.00727399,0.0252709,-0.00727399,0.0252709,-0.00727399
3.06,0.0248809,-0.00708129,0.0248809,-0.00708129,0.0248809,-0.00708129
3.08,0.0244455,-0.00685495,0.0244455,-0.00685495,0.0244455,-0.00685495
3.1,0.0239667,-0.00659738,0.0239667,-0.00659737,0.0239667,-0.00659737
3.12,0.0234466,-0.00631104,0.0234466,-0.00631104,0.0234466,-0.00631104
3.14,0.0228875,-0.00599843,0.0228875,-0.00599842,0.0228875,-0.00599843
3.16,0.0222918,-0.00566205,0.0222918,-0.00566204,0.0222918,-0.00566204
3.18,0.0216618,-0.00530441,0.0216618,-0.0053044,0.0216618,-0.0053044
3.2,0.0210003,-0.004928,0.0210003,-0.004928,0.0210003,-0.004928
3.22,0.0203098,-0.00453533,0.0203098,-0.00453532,0.0203098,-0.00453532
3.24,0.0195931,-0.00412884,0.0195931,-0.00412884,0.0195931,-0.00412884
3.26,0.0188529,-0.00371097,0.0188529,-0.00371096,0.0188529,-0.00371096
3.28,0.018092,-0.00328408,0.018092,-0.00328408,0.018092,-0.00328408
3.3,0.0173132,-0.00285051,0.0173132,-0.0028505,0.0173132,-0.0028505
3.32,0.0165193,-0.00241252,0.0165193,-0.00241251,0.0165193,-0.00241251
3.34,0.0157131,-0.0019723,0.0157131,-0.00197229,0.0157131,-0.00197229
3.36,0.0148973,-0.00153198,0.0148973,-0.00153197,0.0148973,-0.00153197
3.38,0.0140748,-0.00109359,0.0140748,-0.00109358,0.0140748,-0.00109358
3.4,0.0132483,-0.000659088,0.0132483,-0.00065908,0.0132483,-0.000659081
3.42,0.0124203,-0.000230336,0.0124203,-0.000230329,0.0124203,-0.000230329
3.44,0.0115935,0.000190901,0.0115935,0.000190908,0.0115935,0.000190908
3.46,0.0107703,0.00060296,0.0107703,0.000602967,0.0107703,0.000602966
3.48,0.00995331,0.00100428,0.00995331,0.00100428,0.00995331,0.00100428
3.5,0.00914476,0.0013934,0.00914476,0.00139341,0.00914476,0.00139341
3.52,0.00834693,0.00176898,0.00834692,0.00176899,0.00834693,0.00176899
3.54,0.00756195,0.00212978,0.00756195,0.00212978,0.00756195,0.00212978
3.56,0.00679186,0.00247467,0.00679186,0.00247468,0.00679186,0.00247468
3.58,0.0060386,0.00280264,0.0060386,0.00280265,0.0060386,0.00280265
3.6,0.00530396,0.00311278,0.00530396,0.00311279,0.00530396,0.00311279
3.62,0.00458962,0.00340431,0.00458962,0.00340432,0.00458962,0.00340432
3.64,0.00389715,0.00367654,0.00389715,0.00367654,0.00389715,0.00367654
3.66,0.00322797,0.0039289,0.00322797,0.0039289,0.00322798,0.0039289
3.68,0.00258339,0.00416092,0.00258339,0.00416092,0.00258339,0.00416092
3.7,0.00196457,0.00437224,0.00196457,0.00437225,0.00196458,0.00437225
3.72,0.00137256,0.00456262,0.00137256,0.00456262,0.00137256,0.00456262
3.74,0.000808252,0.00473189,0.000808255,0.00473189,0.000808256,0.00473189
3.76,0.000272433,0.00487999,0.000272437,0.00487999,0.000272438,0.00487999
3.78,-0.000234253,0.00500696,-0.000234248,0.00500696,-0.000234247,0.00500696
3.8,-0.000711287,0.00511293,-0.000711281,0.00511293,-0.00071128,0.00511293
3.82,-0.00115828,0.0051981,-0.00115827,0.0051981,-0.00115827,0.0051981
3.84,-0.00157495,0.00526278,-0.00157495,0.00526277,-0.00157494,0.00526278
3.86,-0.00196117,0.00530732,-0.00196116,0.00530732,-0.00196116,0.00530732
3.88,-0.00231689,0.00533218,-0.00231688,0.00533218,-0.00231688,0.00533218
3.9,-0.0026422,0.00533787,-0.00264219,0.00533786,-0.00264219,0.00533786
3.92,-0.00293729,0.00532496,-0.00293728,0.00532496,-0.00293728,0.00532496
3.94,-0.00320245,0.0052941,-0.00320244,0.0052941,-0.00320244,0.0052941
3.96,-0.00343809,0.00524597,-0.00343808,0.00524597,-0.00343808,0.00524597
3.98,-0.00364469,0.00518131,-0.00364468,0.00518131,-0.00364467,0.00518131
4,-0.00382283,0.00510091,-0.00382282,0.00510091,-0.00382282,0.00510091
4.02,-0.00397318,0.00500559,-0.00397317,0.00500559,-0.00397317,0.00500559
4.04,-0.00409648,0.00489621,-0.00409647,0.00489621,-0.00409647,0.00489621
4.06,-0.00419356,0.00477366,-0.00419354,0.00477365,-0.00419354,0.00477365
4.08,-0.00426529,0.00463884,-0.00426527,0.00463883,-0.00426527,0.00463883
4.1,-0.00431262,0.00449269,-0.00431261,0.00449268,-0.00431261,0.00449268
4.12,-0.00433656,0.00433615,-0.00433654,0.00433615,-0.00433654,0.00433615
4.14,-0.00433815,0.00417019,-0.00433814,0.00417018,-0.00433814,0.00417018
4.16,-0.0043185,0.00399576,-0.00431848,0.00399576,-0.00431848,0.00399576
4.18,-0.00427873,0.00381383,-0.00427872,0.00381383,-0.00427872,0.00381383
4.2,-0.00422002,0.00362537,-0.00422,0.00362536,-0.00422,0.00362536
4.22,-0.00414355,0.00343132,-0.00414353,0.00343132,-0.00414353,0.00343132
